ID,ementa detalhada,temas,sub_ementas,tokens_temas,tema_principal,similaridade,cluster,Tema_Cluster
4077,Altera as Leis nº 14.300 de 2022 e 10.438 de 2022.,"Direitos Humanos e Minorias, Energia, Recursos Hídricos e Minerais, Meio Ambiente e Desenvolvimento Sustentável",['Altera as Leis nº 14.300 de 2022 e 10.438 de 2022.'],"['Direitos Humanos e Minorias', 'Energia', 'Recursos Hídricos e Minerais', 'Meio Ambiente e Desenvolvimento Sustentável']",Direitos Humanos e Minorias,0.46716374158859253,16,Direito Civil e Processual Civil
4083,Altera o Decreto-lei nº 3.689 de 1941.,"Defesa e Segurança, Direito Penal e Processual Penal, Direitos Humanos e Minorias",['Altera o Decreto-lei nº 3.689 de 1941.'],"['Defesa e Segurança', 'Direito Penal e Processual Penal', 'Direitos Humanos e Minorias']",Defesa e Segurança,0.46092990040779114,8,Direito Penal e Processual Penal
4091,"Altera a Lei nº 12.351, de 2010.","Economia, Finanças Públicas e Orçamento","['Altera a Lei nº 12.351', 'de 2010.']","['Economia', 'Finanças Públicas e Orçamento']",Economia,0.46531829635302224,34,Direito Penal e Processual Penal
4127,"Altera as Leis nº  12.514 de 2011, 8.906 de 1994, 10.406, de 2002 e revoga a Lei nº 6.830 de 1980.","Direito Civil e Processual Civil, Direito e Justiça, Finanças Públicas e Orçamento","['Altera as Leis nº  12.514 de 2011', '8.906 de 1994', '10.406', 'de 2002 e revoga a Lei nº 6.830 de 1980.']","['Direito Civil e Processual Civil', 'Direito e Justiça', 'Finanças Públicas e Orçamento']",Direito Civil e Processual Civil,0.4998656381731448,10,Direito Civil e Processual Civil
4142,Altera a Lei nº 10.925 de 2004.,"Finanças Públicas e Orçamento, Indústria, Comércio e Serviços, Saúde",['Altera a Lei nº 10.925 de 2004.'],"['Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços', 'Saúde']",Finanças Públicas e Orçamento,0.41786909103393555,30,Finanças Públicas e Orçamento
4154,"Altera a Lei nº 6.938, de 1981.","Defesa e Segurança, Meio Ambiente e Desenvolvimento Sustentável","['Altera a Lei nº 6.938', 'de 1981.']","['Defesa e Segurança', 'Meio Ambiente e Desenvolvimento Sustentável']",Defesa e Segurança,0.47274971419367295,39,Direito Penal e Processual Penal
4157,"Altera a Lei nº 12.101, de 2009.","Educação, Finanças Públicas e Orçamento","['Altera a Lei nº 12.101', 'de 2009.']","['Educação', 'Finanças Públicas e Orçamento']",Educação,0.4765909532705943,33,Direito e Defesa do Consumidor
4170,Altera as Leis nº 14.300 de 2022 e  10.438 de 2002.,"Direitos Humanos e Minorias, Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento",['Altera as Leis nº 14.300 de 2022 e  10.438 de 2002.'],"['Direitos Humanos e Minorias', 'Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento']",Direitos Humanos e Minorias,0.4379524290561676,35,Direitos Humanos e Minorias
4171,Altera a Lei nº 8.080 de 1990.,"Direitos Humanos e Minorias, Saúde",['Altera a Lei nº 8.080 de 1990.'],"['Direitos Humanos e Minorias', 'Saúde']",Direitos Humanos e Minorias,0.3979552984237671,28,Direitos Humanos e Minorias
4172,Altera a Lei n º9.249 de 1995.,"Finanças Públicas e Orçamento, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei n º9.249 de 1995.'],"['Finanças Públicas e Orçamento', 'Meio Ambiente e Desenvolvimento Sustentável']",Finanças Públicas e Orçamento,0.4345700740814209,35,Direitos Humanos e Minorias
4178,Altera o Decreto-lei nº 2.848 de 1940.,Direito Penal e Processual Penal,['Altera o Decreto-lei nº 2.848 de 1940.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4605073034763336,8,Direito Penal e Processual Penal
4231,Altera a Lei nº 14.113 de 2020.,"Defesa e Segurança, Educação, Finanças Públicas e Orçamento",['Altera a Lei nº 14.113 de 2020.'],"['Defesa e Segurança', 'Educação', 'Finanças Públicas e Orçamento']",Defesa e Segurança,0.44904059171676636,12,Direito Penal e Processual Penal
4278,Altera a Lei nº 10.779 de 2003.,"Previdência e Assistência Social, Trabalho e Emprego",['Altera a Lei nº 10.779 de 2003.'],"['Previdência e Assistência Social', 'Trabalho e Emprego']",Previdência e Assistência Social,0.45057645440101624,12,Direito Penal e Processual Penal
4279,Altera as Leis nº 8.078 de 1990 e 12.414 de 2011.,Direito e Defesa do Consumidor,['Altera as Leis nº 8.078 de 1990 e 12.414 de 2011.'],['Direito e Defesa do Consumidor'],Direito e Defesa do Consumidor,0.4747941195964813,33,Direito e Defesa do Consumidor
4281,"Altera o Decreto-lei nº 5.452 de 1943.

.",Trabalho e Emprego,['Altera o Decreto-lei nº 5.452 de 1943.\n\n.'],['Trabalho e Emprego'],Trabalho e Emprego,0.4352297782897949,35,Direitos Humanos e Minorias
4291,Altera as Leis nº 13.869 de 2019 e 12.965 de 2014.,"Administração Pública, Comunicações, Processo Legislativo e Atuação Parlamentar",['Altera as Leis nº 13.869 de 2019 e 12.965 de 2014.'],"['Administração Pública', 'Comunicações', 'Processo Legislativo e Atuação Parlamentar']",Administração Pública,0.4815228283405304,41,Direito Penal e Processual Penal
4297,Altera a Lei nº 9.250 de 1995.,Finanças Públicas e Orçamento,['Altera a Lei nº 9.250 de 1995.'],['Finanças Públicas e Orçamento'],Finanças Públicas e Orçamento,0.42429524660110474,36,Finanças Públicas e Orçamento
4299,Altera as Leis nº 12.965 de 2014 e 9.472 de 1997.,"Administração Pública, Comunicações, Indústria, Comércio e Serviços",['Altera as Leis nº 12.965 de 2014 e 9.472 de 1997.'],"['Administração Pública', 'Comunicações', 'Indústria', 'Comércio e Serviços']",Administração Pública,0.34989869594573975,37,Energia
4302,Altera o Decreto-Lei nº 3.689 de 1941 e a  Lei nº 13.105 de 2015.,"Direito Civil e Processual Civil, Direito Penal e Processual Penal",['Altera o Decreto-Lei nº 3.689 de 1941 e a  Lei nº 13.105 de 2015.'],"['Direito Civil e Processual Civil', 'Direito Penal e Processual Penal']",Direito Civil e Processual Civil,0.4993763566017151,10,Direito Civil e Processual Civil
4314,"Altera a Lei nº 7.713, de 1988.","Finanças Públicas e Orçamento, Previdência e Assistência Social, Saúde","['Altera a Lei nº 7.713', 'de 1988.']","['Finanças Públicas e Orçamento', 'Previdência e Assistência Social', 'Saúde']",Finanças Públicas e Orçamento,0.4656902757184259,34,Direito Penal e Processual Penal
4328,Altera a Lei nº 10.973 de 2004.,"Administração Pública, Ciência, Tecnologia e Inovação, Economia, Finanças Públicas e Orçamento, Indústria, Comércio e Serviços",['Altera a Lei nº 10.973 de 2004.'],"['Administração Pública', 'Ciência', 'Tecnologia e Inovação', 'Economia', 'Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços']",Administração Pública,0.4372042119503021,35,Direitos Humanos e Minorias
4329,Altera a Lei nº 10.826 de 2003.,Defesa e Segurança,['Altera a Lei nº 10.826 de 2003.'],['Defesa e Segurança'],Defesa e Segurança,0.3620843291282654,31,Defesa e Segurança
4341,Altera a Lei nº 9.394 de 1996.,Educação,['Altera a Lei nº 9.394 de 1996.'],['Educação'],Educação,0.30483517050743103,4,Educação
4348,Altera o Decreto-lei 2.848 de 1940.,Direito Penal e Processual Penal,['Altera o Decreto-lei 2.848 de 1940.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4635851979255676,34,Direito Penal e Processual Penal
4359,"Revoga o Decreto nº 70.235, de 1972.","Administração Pública, Finanças Públicas e Orçamento","['Revoga o Decreto nº 70.235', 'de 1972.']","['Administração Pública', 'Finanças Públicas e Orçamento']",Administração Pública,0.4836675752611721,19,Direito e Defesa do Consumidor
4464,"Altera a Lei nº 8.069, de 1990 e a Lei nº 8.242, de 1991.",Direitos Humanos e Minorias,"['Altera a Lei nº 8.069', 'de 1990 e a Lei nº 8.242', 'de 1991.']",['Direitos Humanos e Minorias'],Direitos Humanos e Minorias,0.4113539389844211,47,Direitos Humanos e Minorias
4479,"Altera a Lei nº 8.989, de 1995 e a Lei nº 8.383, de 1991.","Finanças Públicas e Orçamento, Trabalho e Emprego, Viação, Transporte e Mobilidade","['Altera a Lei nº 8.989', 'de 1995 e a Lei nº 8.383', 'de 1991.']","['Finanças Públicas e Orçamento', 'Trabalho e Emprego', 'Viação', 'Transporte e Mobilidade']",Finanças Públicas e Orçamento,0.45145487560416164,12,Direito Penal e Processual Penal
4483,"Altera a Lei nº 7.689, de 1988 e a Lei nº 9.249, de 1995.","Comunicações, Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento","['Altera a Lei nº 7.689', 'de 1988 e a Lei nº 9.249', 'de 1995.']","['Comunicações', 'Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento']",Comunicações,0.45961493028784695,8,Direito Penal e Processual Penal
4506,Altera a Lei nº 9.394 de 1996.,Educação,['Altera a Lei nº 9.394 de 1996.'],['Educação'],Educação,0.30483517050743103,4,Educação
4516,Altera a Lei nº 14.284 de 2021.,"Direitos Humanos e Minorias, Finanças Públicas e Orçamento, Trabalho e Emprego",['Altera a Lei nº 14.284 de 2021.'],"['Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento', 'Trabalho e Emprego']",Direitos Humanos e Minorias,0.44710928201675415,25,Finanças Públicas e Orçamento
4535,Altera a Lei 9.991 de 2000.,"Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento",['Altera a Lei 9.991 de 2000.'],"['Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento']",Energia,0.4162331521511078,30,Finanças Públicas e Orçamento
4565,Altera a Lei nº 9.296 de 1996.,Direito Penal e Processual Penal,['Altera a Lei nº 9.296 de 1996.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.44324949383735657,43,Meio Ambiente e Desenvolvimento Sustentável
4601,"Altera a a Lei nº 7.102, 1983.",Trabalho e Emprego,"['Altera a a Lei nº 7.102', '1983.']",['Trabalho e Emprego'],Trabalho e Emprego,0.43457121402025223,35,Direitos Humanos e Minorias
4602,Altera a Lei nº 9.605 de 1998.,"Direito Penal e Processual Penal, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 9.605 de 1998.'],"['Direito Penal e Processual Penal', 'Meio Ambiente e Desenvolvimento Sustentável']",Direito Penal e Processual Penal,0.4429070055484772,43,Meio Ambiente e Desenvolvimento Sustentável
4632,"Altera o Decreto-Lei nº 37, de 1966 e o Decreto-Lei nº 1.804, de 1980.","Economia, Finanças Públicas e Orçamento, Indústria, Comércio e Serviços","['Altera o Decreto-Lei nº 37', 'de 1966 e o Decreto-Lei nº 1.804', 'de 1980.']","['Economia', 'Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços']",Economia,0.46858489874637493,16,Direito Civil e Processual Civil
4636,Altera a Lei nº 12.587/2012,"Trabalho e Emprego, Viação, Transporte e Mobilidade",['Altera a Lei nº 12.587/2012'],"['Trabalho e Emprego', 'Viação', 'Transporte e Mobilidade']",Trabalho e Emprego,0.4626144468784332,34,Direito Penal e Processual Penal
4647,"Altera a Lei nº 14.284, de 2021 e a Lei nº 14.342, de 2022.","Direitos Humanos e Minorias, Previdência e Assistência Social","['Altera a Lei nº 14.284', 'de 2021 e a Lei nº 14.342', 'de 2022.']","['Direitos Humanos e Minorias', 'Previdência e Assistência Social']",Direitos Humanos e Minorias,0.44483318328857424,42,Direitos Humanos e Minorias
4683,Altera o Decreto-Lei nº 2.848 de 1940 e a Lei nº 4.737 de 1965.,"Direito Penal e Processual Penal, Política, Partidos e Eleições",['Altera o Decreto-Lei nº 2.848 de 1940 e a Lei nº 4.737 de 1965.'],"['Direito Penal e Processual Penal', 'Política', 'Partidos e Eleições']",Direito Penal e Processual Penal,0.47035104036331177,16,Direito Civil e Processual Civil
4875,Altera o Decreto-lei nº 2.848 de 1940.,Direito Penal e Processual Penal,['Altera o Decreto-lei nº 2.848 de 1940.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4605073034763336,8,Direito Penal e Processual Penal
4878,Altera a Lei nº 9.478 de 1997.,"Administração Pública, Finanças Públicas e Orçamento",['Altera a Lei nº 9.478 de 1997.'],"['Administração Pública', 'Finanças Públicas e Orçamento']",Administração Pública,0.40388724207878113,20,Direitos Humanos e Minorias
4911,"Altera a Lei nº 10.925, de 2004.","Agricultura, Pecuária, Pesca e Extrativismo, Finanças Públicas e Orçamento","['Altera a Lei nº 10.925', 'de 2004.']","['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Finanças Públicas e Orçamento']",Agricultura,0.4413385152816772,43,Meio Ambiente e Desenvolvimento Sustentável
4924,"Altera o Decreto-Lei nº 5.452, de 1943.","Direito e Justiça, Trabalho e Emprego","['Altera o Decreto-Lei nº 5.452', 'de 1943.']","['Direito e Justiça', 'Trabalho e Emprego']",Direito e Justiça,0.4592102202209266,8,Direito Penal e Processual Penal
4972,Altera a Lei nº 8.112 de 1990.,"Administração Pública, Trabalho e Emprego",['Altera a Lei nº 8.112 de 1990.'],"['Administração Pública', 'Trabalho e Emprego']",Administração Pública,0.42265576124191284,15,Direitos Humanos e Minorias
4974,Altera a Lei nº 13.146 de 2015.,"Arte, Cultura e Religião, Direitos Humanos e Minorias",['Altera a Lei nº 13.146 de 2015.'],"['Arte', 'Cultura e Religião', 'Direitos Humanos e Minorias']",Arte,0.4565368592739105,29,Direitos Humanos e Minorias
4976,Altera o Decreto-Lei nº 2.848 de 1940.,Direito Penal e Processual Penal,['Altera o Decreto-Lei nº 2.848 de 1940.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.48191145062446594,41,Direito Penal e Processual Penal
4979,Altera o Decreto-lei nº 2.848 de 1940.,"Administração Pública, Direito Penal e Processual Penal, Direitos Humanos e Minorias, Trabalho e Emprego",['Altera o Decreto-lei nº 2.848 de 1940.'],"['Administração Pública', 'Direito Penal e Processual Penal', 'Direitos Humanos e Minorias', 'Trabalho e Emprego']",Administração Pública,0.46050721406936646,8,Direito Penal e Processual Penal
4992,Altera o Decreto-lei 2.848 de 1940.,Direito Penal e Processual Penal,['Altera o Decreto-lei 2.848 de 1940.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4635851979255676,34,Direito Penal e Processual Penal
5019,Altera a Lei nº 13.958 de 2019.,"Administração Pública, Direitos Humanos e Minorias, Saúde",['Altera a Lei nº 13.958 de 2019.'],"['Administração Pública', 'Direitos Humanos e Minorias', 'Saúde']",Administração Pública,0.43192026019096375,0,Trabalho e Emprego
5022,Altera a Lei nº 12.529 de 2011.,"Economia, Trabalho e Emprego, Viação, Transporte e Mobilidade",['Altera a Lei nº 12.529 de 2011.'],"['Economia', 'Trabalho e Emprego', 'Viação', 'Transporte e Mobilidade']",Economia,0.42857468128204346,26,Direitos Humanos e Minorias
5041,Altera as Leis nº 11.428 de 2006 e 12.787 de 2013.,"Administração Pública, Agricultura, Pecuária, Pesca e Extrativismo, Energia, Recursos Hídricos e Minerais, Meio Ambiente e Desenvolvimento Sustentável",['Altera as Leis nº 11.428 de 2006 e 12.787 de 2013.'],"['Administração Pública', 'Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Energia', 'Recursos Hídricos e Minerais', 'Meio Ambiente e Desenvolvimento Sustentável']",Administração Pública,0.4507957398891449,12,Direito Penal e Processual Penal
5044,Altera a Lei nº 4.502 de 1964.,"Administração Pública, Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento, Indústria, Comércio e Serviços, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 4.502 de 1964.'],"['Administração Pública', 'Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços', 'Meio Ambiente e Desenvolvimento Sustentável']",Administração Pública,0.43476495146751404,35,Direitos Humanos e Minorias
5089,"Altera a Lei nº 11.488, de 2007.","Administração Pública, Finanças Públicas e Orçamento, Viação, Transporte e Mobilidade","['Altera a Lei nº 11.488', 'de 2007.']","['Administração Pública', 'Finanças Públicas e Orçamento', 'Viação', 'Transporte e Mobilidade']",Administração Pública,0.4734562555948893,39,Direito Penal e Processual Penal
5096,Altera a Lei nº 9.434 de 1997.,"Direito Civil e Processual Civil, Direitos Humanos e Minorias, Saúde",['Altera a Lei nº 9.434 de 1997.'],"['Direito Civil e Processual Civil', 'Direitos Humanos e Minorias', 'Saúde']",Direito Civil e Processual Civil,0.43251833319664,0,Trabalho e Emprego
5107,Altera a Lei nº 10.826 de 2003.,Defesa e Segurança,['Altera a Lei nº 10.826 de 2003.'],['Defesa e Segurança'],Defesa e Segurança,0.362084299325943,31,Defesa e Segurança
5184,Altera a Lei nº 9.656 de 1998.,"Direito e Defesa do Consumidor, Saúde",['Altera a Lei nº 9.656 de 1998.'],"['Direito e Defesa do Consumidor', 'Saúde']",Direito e Defesa do Consumidor,0.5036922693252563,40,Direito e Defesa do Consumidor
5185,Atualiza a legislação processual civil e trata do processo administrativo fiscal.,"Direito Civil e Processual Civil, Direito e Justiça, Finanças Públicas e Orçamento",['Atualiza a legislação processual civil e trata do processo administrativo fiscal.'],"['Direito Civil e Processual Civil', 'Direito e Justiça', 'Finanças Públicas e Orçamento']",Direito Civil e Processual Civil,0.7266300320625305,9,Direito Civil e Processual Civil
5192,Altera a Lei nº 11.340 de 2006.,"Defesa e Segurança, Direitos Humanos e Minorias",['Altera a Lei nº 11.340 de 2006.'],"['Defesa e Segurança', 'Direitos Humanos e Minorias']",Defesa e Segurança,0.42537301778793335,36,Finanças Públicas e Orçamento
5216,Altera o Decreto-lei nº 2.848 de 1940.,"Administração Pública, Direito Penal e Processual Penal",['Altera o Decreto-lei nº 2.848 de 1940.'],"['Administração Pública', 'Direito Penal e Processual Penal']",Administração Pública,0.4605071544647217,8,Direito Penal e Processual Penal
5219,Altera as Leis nº 9.656 de 1998 e  9.961 de 2000.,"Direito e Defesa do Consumidor, Saúde",['Altera as Leis nº 9.656 de 1998 e  9.961 de 2000.'],"['Direito e Defesa do Consumidor', 'Saúde']",Direito e Defesa do Consumidor,0.48241737484931946,41,Direito Penal e Processual Penal
5235,Altera a Lei nº 9.503 de 1997.,"Viação, Transporte e Mobilidade",['Altera a Lei nº 9.503 de 1997.'],"['Viação', 'Transporte e Mobilidade']",Viação,0.38544443249702454,48,Viação
5254,Altera as Leis nº 12.850 de 2013; 12.965 de 2014; 9.613 de 1998 e 12.037  de 2009.,"Defesa e Segurança, Direito Civil e Processual Civil, Direito Penal e Processual Penal","['Altera as Leis nº 12.850 de 2013', '12.965 de 2014', '9.613 de 1998 e 12.037  de 2009.']","['Defesa e Segurança', 'Direito Civil e Processual Civil', 'Direito Penal e Processual Penal']",Defesa e Segurança,0.45333039378508544,45,Direitos Humanos e Minorias
5260,Altera o Decreto-lei 5.452 de 1943.,Trabalho e Emprego,['Altera o Decreto-lei 5.452 de 1943.'],['Trabalho e Emprego'],Trabalho e Emprego,0.4417480528354645,43,Meio Ambiente e Desenvolvimento Sustentável
5262,Altera o Decreto-lei 2.848 de 1940.,"Direito Penal e Processual Penal, Viação, Transporte e Mobilidade",['Altera o Decreto-lei 2.848 de 1940.'],"['Direito Penal e Processual Penal', 'Viação', 'Transporte e Mobilidade']",Direito Penal e Processual Penal,0.46358513832092285,34,Direito Penal e Processual Penal
5266,Altera a Lei nº 9.503 de 1997.,"Direito Civil e Processual Civil, Direito e Defesa do Consumidor, Viação, Transporte e Mobilidade",['Altera a Lei nº 9.503 de 1997.'],"['Direito Civil e Processual Civil', 'Direito e Defesa do Consumidor', 'Viação', 'Transporte e Mobilidade']",Direito Civil e Processual Civil,0.4781825840473175,1,Direito Civil e Processual Civil
5285,Altera a Lei nº 14.133 de 2021.,"Administração Pública, Arte, Cultura e Religião, Finanças Públicas e Orçamento",['Altera a Lei nº 14.133 de 2021.'],"['Administração Pública', 'Arte', 'Cultura e Religião', 'Finanças Públicas e Orçamento']",Administração Pública,0.4594394862651825,8,Direito Penal e Processual Penal
5297,Altera a Lei nº 12.764 de 2012.,"Administração Pública, Direitos Humanos e Minorias",['Altera a Lei nº 12.764 de 2012.'],"['Administração Pública', 'Direitos Humanos e Minorias']",Administração Pública,0.4265095889568329,26,Direitos Humanos e Minorias
5318,Altera a Lei nº10.925 de 2004.,"Agricultura, Pecuária, Pesca e Extrativismo, Finanças Públicas e Orçamento",['Altera a Lei nº10.925 de 2004.'],"['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Finanças Públicas e Orçamento']",Agricultura,0.4250260591506958,36,Finanças Públicas e Orçamento
5319,Altera a Lei nº 12.305 de 2010.,"Administração Pública, Cidades e Desenvolvimento Urbano, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 12.305 de 2010.'],"['Administração Pública', 'Cidades e Desenvolvimento Urbano', 'Meio Ambiente e Desenvolvimento Sustentável']",Administração Pública,0.44244128465652466,43,Meio Ambiente e Desenvolvimento Sustentável
5320,Altera o Decreto-lei nº 5.452 de 1943.,"Direito Civil e Processual Civil, Direito e Justiça, Trabalho e Emprego",['Altera o Decreto-lei nº 5.452 de 1943.'],"['Direito Civil e Processual Civil', 'Direito e Justiça', 'Trabalho e Emprego']",Direito Civil e Processual Civil,0.49006038904190063,49,Direito Civil e Processual Civil
5321,Altera a Lei nº 8.080 de 1990.,Saúde,['Altera a Lei nº 8.080 de 1990.'],['Saúde'],Saúde,0.2677830159664154,24,Saúde
5377,Altera a Lei nº 10.848 de 2004.,"Administração Pública, Direito e Defesa do Consumidor, Energia, Recursos Hídricos e Minerais, Indústria, Comércio e Serviços",['Altera a Lei nº 10.848 de 2004.'],"['Administração Pública', 'Direito e Defesa do Consumidor', 'Energia', 'Recursos Hídricos e Minerais', 'Indústria', 'Comércio e Serviços']",Administração Pública,0.5028982162475586,40,Direito e Defesa do Consumidor
5379,"Altera a Lei nº 10.438, de 2002.","Direito e Defesa do Consumidor, Energia, Recursos Hídricos e Minerais","['Altera a Lei nº 10.438', 'de 2002.']","['Direito e Defesa do Consumidor', 'Energia', 'Recursos Hídricos e Minerais']",Direito e Defesa do Consumidor,0.49645813703536984,27,Direito Civil e Processual Civil
5380,Estabelece que constitui ato de improbidade administrativa que atenta contra o princípio da legalidade a conduta de negar crédito de impostos quando o respaldo jurídico deste restar contido no texto de lei ou na jurisprudência.,"Administração Pública, Finanças Públicas e Orçamento",['Estabelece que constitui ato de improbidade administrativa que atenta contra o princípio da legalidade a conduta de negar crédito de impostos quando o respaldo jurídico deste restar contido no texto de lei ou na jurisprudência.'],"['Administração Pública', 'Finanças Públicas e Orçamento']",Administração Pública,0.3034583628177643,4,Educação
5381,Altera a Lei nº 6.015 de 1973.,"Direito Civil e Processual Civil, Direitos Humanos e Minorias",['Altera a Lei nº 6.015 de 1973.'],"['Direito Civil e Processual Civil', 'Direitos Humanos e Minorias']",Direito Civil e Processual Civil,0.5059105157852173,40,Direito e Defesa do Consumidor
5398,Altera a Lei nº 9.868 de 1999.,"Direito Constitucional, Processo Legislativo e Atuação Parlamentar",['Altera a Lei nº 9.868 de 1999.'],"['Direito Constitucional', 'Processo Legislativo e Atuação Parlamentar']",Direito Constitucional,0.5175289511680603,18,Processo Legislativo e Atuação Parlamentar
5427,Altera as Leis nº 6.567 de 1978 e 7.805 de 1989.,"Energia, Recursos Hídricos e Minerais",['Altera as Leis nº 6.567 de 1978 e 7.805 de 1989.'],"['Energia', 'Recursos Hídricos e Minerais']",Energia,0.39766982197761536,28,Direitos Humanos e Minorias
5475,"Altera a Lei nº 9.250, de 1995 e a Lei nº 7.713, de 1988.","Direitos Humanos e Minorias, Finanças Públicas e Orçamento, Previdência e Assistência Social","['Altera a Lei nº 9.250', 'de 1995 e a Lei nº 7.713', 'de 1988.']","['Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento', 'Previdência e Assistência Social']",Direitos Humanos e Minorias,0.4542567729949951,45,Direitos Humanos e Minorias
5484,"Altera a Lei nº 11.419, de 2006.","Direito Civil e Processual Civil, Direito e Justiça","['Altera a Lei nº 11.419', 'de 2006.']","['Direito Civil e Processual Civil', 'Direito e Justiça']",Direito Civil e Processual Civil,0.48008609215418496,1,Direito Civil e Processual Civil
5486,"Trata dos crimes de alteração de limites e esbulho possessório, e cria o tipo penal de esbulho possessório qualificado.",Direito Penal e Processual Penal,"['Trata dos crimes de alteração de limites e esbulho possessório', 'e cria o tipo penal de esbulho possessório qualificado.']",['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.5731852635359154,23,Direito Penal e Processual Penal
5489,Trata da interposição de recurso adesivo no âmbito dos Juizados Especiais.,Direito e Justiça,['Trata da interposição de recurso adesivo no âmbito dos Juizados Especiais.'],['Direito e Justiça'],Direito e Justiça,0.4447791278362274,42,Direitos Humanos e Minorias
5491,"Altera a Lei nº 9.478, de 1997.","Direito e Defesa do Consumidor, Economia, Energia, Recursos Hídricos e Minerais","['Altera a Lei nº 9.478', 'de 1997.']","['Direito e Defesa do Consumidor', 'Economia', 'Energia', 'Recursos Hídricos e Minerais']",Direito e Defesa do Consumidor,0.5050859225207363,40,Direito e Defesa do Consumidor
5492,Altera a Lei nº 12.608 de 2012.,"Administração Pública, Defesa e Segurança",['Altera a Lei nº 12.608 de 2012.'],"['Administração Pública', 'Defesa e Segurança']",Administração Pública,0.4228422939777374,15,Direitos Humanos e Minorias
5505,Altera o Decreto-Lei nº 5.452 de 1943.,"Arte, Cultura e Religião, Direitos Humanos e Minorias, Trabalho e Emprego",['Altera o Decreto-Lei nº 5.452 de 1943.'],"['Arte', 'Cultura e Religião', 'Direitos Humanos e Minorias', 'Trabalho e Emprego']",Arte,0.44349175691604614,43,Meio Ambiente e Desenvolvimento Sustentável
5513,"Altera as Leis nº 8.069 de 1990, 8.313 de 1991 e 8.685 de 1993.","Arte, Cultura e Religião, Comunicações, Defesa e Segurança, Direito Penal e Processual Penal, Direitos Humanos e Minorias","['Altera as Leis nº 8.069 de 1990', '8.313 de 1991 e 8.685 de 1993.']","['Arte', 'Cultura e Religião', 'Comunicações', 'Defesa e Segurança', 'Direito Penal e Processual Penal', 'Direitos Humanos e Minorias']",Arte,0.4645260103413316,34,Direito Penal e Processual Penal
5525,"Altera o Decreto-lei nº 2.848, de 1940.","Comunicações, Direito Penal e Processual Penal","['Altera o Decreto-lei nº 2.848', 'de 1940.']","['Comunicações', 'Direito Penal e Processual Penal']",Comunicações,0.5045261689134546,40,Direito e Defesa do Consumidor
5530,"Altera o Decreto-lei nº 2.848, de 1940, a Lei nº 7.716, de 1989 e a Lei nº 12.288, de 2010.","Direito Penal e Processual Penal, Direitos Humanos e Minorias","['Altera o Decreto-lei nº 2.848', 'de 1940', 'a Lei nº 7.716', 'de 1989 e a Lei nº 12.288', 'de 2010.']","['Direito Penal e Processual Penal', 'Direitos Humanos e Minorias']",Direito Penal e Processual Penal,0.4628233600811786,34,Direito Penal e Processual Penal
5535,Altera a Lei nº 8.742 de 1993.,"Defesa e Segurança, Direitos Humanos e Minorias, Previdência e Assistência Social",['Altera a Lei nº 8.742 de 1993.'],"['Defesa e Segurança', 'Direitos Humanos e Minorias', 'Previdência e Assistência Social']",Defesa e Segurança,0.40476706624031067,20,Direitos Humanos e Minorias
5536,Altera a Lei nº 8.742 de 1993.,"Defesa e Segurança, Direitos Humanos e Minorias, Previdência e Assistência Social",['Altera a Lei nº 8.742 de 1993.'],"['Defesa e Segurança', 'Direitos Humanos e Minorias', 'Previdência e Assistência Social']",Defesa e Segurança,0.40476706624031067,20,Direitos Humanos e Minorias
